url	section	categories	description	data_and_n	model_version	key_numbers	author_type	date	notes
https://github.com/dtduc-git/jevnav	Calibration and confidence	consistency;perturbation;domain-benchmark;abstention	Browser-automation tool using Jev to pick page elements, with several small measured benchmarks: 41/41 scored element-selection decisions correct across 8 sites (all 30 at p>=0.9 correct), 44/44 in a build-time spike, and loop-mode confidence that does NOT separate correct from wrong decisions (both land p=0.39-0.99)	30 hand-labelled cases (41 scored) across 8 sites; 44-decision build spike; 3-seed 60s game pilot; n=1 per driving-benchmark task	jev-1.13.0	41/41 scored correct, 30/30 at p>=0.9; loop-mode: correct decisions p 0.41-0.99, wrong decisions p 0.39-0.47 (no separation); game pilot mean score 3.0 (Jev) vs 0.67 (random); cost ~$0.00004-0.00015/decision	independent dev	2026-09-21	Author repeatedly flags small n, self-graded ground truth, single annotator/easy intents as 'direction, not proof'; explicitly retracts an earlier n=1-per-server speed comparison as unreliable.
https://github.com/eggmasonvalue/jev-takes-mauboussin	Calibration and confidence	calibration;comparison	Ran jev-latest through Mauboussin's 50-question human calibration quiz: 90.0% accuracy at 91.4% mean stated confidence (calibration gap +1.4pts), placing Jev in the top 1.1% of 948 human takers on accuracy and top 7.5% on calibration; 34/34 correct when Jev claimed >=95% confidence	50 True/False questions (Mauboussin's public calibration quiz), n=948 human comparison baseline	jev-latest	45/50 correct (90.0%); mean confidence 91.4%, calibration gap +1.4pts, Brier 0.0903, ECE 10.4%; human baseline 60.0% accuracy/+10.0pt overconfidence gap; 34/34 correct at >=95% stated confidence	independent dev		n=50 items, single run; all 5 errors were classic geographic/statistical illusions also known to trip up humans; results are submitted to and displayed on the quiz's own public leaderboard page.
https://github.com/ItBayMax/typesafe-ai-jev-example	Calibration and confidence	calibration;abstention	Comparing hand-authored mock probabilities to 28 real Jev calls found the model's real confidence distribution is extreme (mass at 0.0/1.0) and prefers a clean fallback option over picking among wrong choices	65-item comparison table; 28 real API requests, 29,674 input tokens	jev-1.13.0	$0.00125 total cost for 28 requests; hand-guessed probabilities were high in 18/27 mismatches vs low in 9; confidence frequently exactly 1.0	independent dev	2026-09-20	"Author's own framing: this teaches ""how to use the programming model,"" not ""whether Jev judges accurately"" -- that requires the reader's own data; results tied to jev-1.13.0 and may not hold for other versions."
https://github.com/jourdanlabs/assay-001	Calibration and confidence	calibration	Calibration audit: Jev's chosen-option probabilities are calibrated on CLINC150 (ECE 0.0204) but overconfident on Banking77 (ECE 0.0936), with zero type errors across 8,576 responses	Banking77 + CLINC150(plus), 8,576 responses total	unstated exact version (frozen protocol dated 2026-09-17)	CLINC150 ECE 0.0204 (calibrated); Banking77 ECE 0.0936 (overconfident); 0 type errors	independent dev	2026-09-17	Strong methodological rigor: hash-frozen protocol before any query, independent blind rescorer matched every field; explicitly scopes conclusions to only the artifacts and criteria examined.
https://github.com/KantaHayashiAI/jev-does-not-play-dice	Calibration and confidence	calibration;failure-modes	Jev assigns 82.9% mean probability to its chosen option on a fair 6-sided die (true rate 16.7%) while accuracy stays near chance (19.0%), showing reported probabilities do not reflect known uncertainty	400-trial die sweep (Choice), smaller coin/Noul/forecast sets (exact n unstated per cell)	unstated version, via Vercel AI Gateway	Fair die (Choice): expected 16.7%, mean reported 82.9%, accuracy 19.0%; forecast doc stated 45% -> reported 6.6%; stated 55% -> reported 95.9%	independent dev	unstated	Explicitly caveats results are specific to these prompts/conditions and do not establish Jev probabilities are generally unusable.
https://github.com/meetr1912/jev-arena	Calibration and confidence	calibration;abstention	Calibration arena posing questions with analytically known ground-truth probabilities; live Jev scores Brier 0.0059 and ECE 0.0620 on 145 binary events, with a confidence-gated risk-coverage table	200 trials (145 binary noul events) live run, seed 7	jev-1.13.0	Brier 0.0059, log loss 0.5393, ECE 0.0620 (binary); multiclass Brier 0.1915, ECE 0.109/0.084; d>=0.25 covers 76.6% at 100% accuracy	independent dev		Live run is stochastic - re-running moves numbers slightly; a live smoke test found Jev assigning 0.89 to a face of a fair die.
https://github.com/meetr1912/jev-vickrey	Calibration and confidence	calibration	A sealed-bid auction simulator finds live TypeSafe Jev under-confident on value-threshold probes (ECE 0.1321, Brier 0.1391 vs a perfectly-calibrated oracle's 0.0132/0.0559), causing it to overbid and lose money in second-price auctions	20 live rounds (13-question fan-out each, 220 probes); 200 offline oracle rounds for comparison	jev-1.13.0 via TypeSafe API	live ECE 0.1321, Brier 0.1391, MAE $43.89; offline oracle ECE 0.0132, Brier 0.0559; live second-price profit -163.4 vs benchmark -7.4 (regret 156.0)	independent dev		Author notes Jev's coarse choice-band estimate (MAE $26.86) was actually closer than its finer threshold-CDF estimate -- a concrete, stated finding.
https://github.com/nikkoxgonzales/jev-certify	Calibration and confidence	calibration;abstention;consistency;domain-benchmark	Applies conformal prediction and prediction-powered inference to Jev's intent-routing confidence on CLINC150; finds the achievable risk bound floors at 1.95% because Jev returns exactly 1.0 confidence on 56.4% of answers (9 of which are wrong)	CLINC150, 2,412 journalled decisions ($0.23 total), 460 calibration/400 held-out	Jev 1.13 via OpenRouter Decisions API	At 5% risk target: 84.75% auto-routed at 2.65% error; alpha=1% infeasible because 56.4% of answers are exactly p=1.0 (9 wrong); PPI++ narrows CI 62% with 40 labels vs 254 labels-only	independent dev	unstated (2,412-call run)	Extremely rigorous: 43 statistical tests, content-addressed request journal, explicit finding that a 150-way conformal prediction set is useless (averages 148.5/150 labels); documents a deployment case where the certificate catastrophically breaks under distribution shift (loss/query = 1.0000).
https://github.com/pozapas/jev-calibrated-narrative-coding	Calibration and confidence	calibration;domain-benchmark	Research code for 'Calibrated Decisions at Scale': converts police crash narratives to coded variables with pinned jev-1.13.0, audits ECE, Murphy decomposition and calibration slope against coded fields and a human gold set, with a frontier-model baseline	Texas crash narratives; 400-item human gold set	jev-1.13.0		researcher/academic		Paper artifact; headline numbers in the paper
https://github.com/rubinagentagi-tech/jev-heart-risk-bench	Calibration and confidence	domain-benchmark;calibration;comparison;perturbation	Jev scored on 5,000 real CDC heart-risk survey respondents vs logistic regression, a chat LLM, and base rate; Jev's AUC trails a chat LLM (0.7725 vs 0.7935) and its stated probabilities are badly miscalibrated (Brier skill -1.315)	CDC BRFSS 2015, 5,000 respondents (253,680 complete-case cohort)	jev-1.13.0	Jev 72.2% acc, AUC 0.7725 vs chat LLM 61.2%/0.7935 vs logistic regression 79.1%/0.8417; Jev Brier skill vs base rate -1.315; cost $0.24 vs $0.68 (LLM)	independent dev	2026	"Explicitly walks back two of its own earlier mistaken conclusions (""Jev beat the LLM,"" ""tied on skill"") after a bootstrap rigour review; flags complete-case deletion and label-definition looseness (""heart risk"" is really ""ever told"")."
https://github.com/Running-Dolphins/jev-bench	Calibration and confidence	calibration;consistency;perturbation;abstention;language	Calibration/accuracy benchmark of Jev on 12 public classification tasks (500 ex each); reliability tables show over/under-confidence varies sharply by task (e.g. banking77 0.9-1.0 band: stated 0.98, actual 0.90)	public datasets (Banking77, CLINC150, MASSIVE, LEDGAR, AG News, SMS Spam, QQP, BoolQ, TweetEval, Yelp, CardiffNLP), 500 ex/task, 300/experiment	jev-1.13.0	gate error rate 0.2%-18.4% vs 1.4%-29.6% ungated; OOS median top-prob 0.54 vs 1.00 in-scope, AUROC 0.91; order-shuffle flips 8.7% of answers overall, <2% among p>=0.9	independent dev/company (Running Dolphins)	2026-09-20	One run, 500 ex/task; label noise in public datasets could depress accuracy/calibration; datasets may be in training data (contamination risk noted).
https://github.com/scarif-labs/jev-software-decision-benchmark	Calibration and confidence	domain-benchmark;comparison;calibration;perturbation	Independent AUROC study of Jev vs DeepSeek Flash and static rules for dependency-update auto-merge decisions; Jev leads in-distribution (AUROC 0.851 vs 0.602/0.585) but its calibrated threshold fails to transfer out-of-distribution (50% precision, 15 unsafe merges on 185 OOD cases)	1,102 in-distribution cases (BUMP dataset); 185 independent OOD cases (103 repos)	jev-latest	in-dist AUROC 0.851 vs 0.602 (rules)/0.585 (DeepSeek); OOD AUROC 0.605 (95% CI 0.525-0.685); OOD frozen threshold 50.0% precision, 15 unsafe merges of 30 auto-merges	researcher/academic (independent studio research wing)	unstated (2026)	"OOD ecosystem-dependent (JS AUROC 0.673 vs non-JS 0.379); OOD outcome-labeling differs from in-distribution (revert-based vs build-failure-based); explicit ""does not establish general superiority/inferiority."""
https://github.com/simonmesmith/jev-probability-experiment	Calibration and confidence	calibration;consistency;failure-modes	Tested jev-1.13.0 on 68 probability problems (coins, dice, cards); Noul gives the closest probability estimate (MAE 5.56pp) vs outcome-Choice (MAE 21.14pp); numerical-answer Choice got 60/60 correct when the answer was an offered option	68 authored scenarios (60 binary + 8 full-distribution), synthetic	jev-1.13.0	Noul MAE 5.56pp vs outcome-Choice 21.14pp; numerical Choice 60/60; Noul+complement summed to 100% off by 7.55pp avg/25pp worst; option-order shift 3.37pp avg	independent dev	2026-09 (frozen before run; scored 2026-09-22 per docs check)	Small authored suite, single annotator/model version, prompts may interact with textbook-pattern memorization; explicitly not a calibration study across real-world data.
https://github.com/TakumiNoguchi2004/jev-noul-vs-choice	Calibration and confidence	calibration;consistency	"Root-causes a known Jev miscalibration (fair-die ""choice"" collapses to ~77% confidence on one face) and shows it is specific to the Choice primitive: independent Noul questions recover near-true 1/6 probabilities for every face, with severity of Choice's bias scaling with option count"	synthetic dice scenarios, n=50 trials per condition, ~10 conditions	typesafe/jev-1.13 (via OpenRouter)	choice mean P(face1)=0.769 (true 0.167); noul mean P per face 0.157-0.177 (true 0.167); choice on impossible 7th face 0.038 (ranked above 2 real faces); binary (2-way) choice bias 0.078-0.156 (milder)	independent dev	unstated	"Single synthetic scenario family (dice), n=50/condition; author explicitly scopes claim to ""evidence about this setting, not a universal claim."""
https://thoughts.jock.pl/p/jev-typesafe-system-one-model-benchmark-2026	Calibration and confidence	comparison;calibration	40 hand-labeled tickets, routing, urgency and anger, against Haiku, Fable, Astra and Gemini Flash: routing 97.5%, 8/40 urgency errors; Choice confidence is bimodal while Score confidence clusters mid-range, which makes one threshold unreliable						
https://github.com/WanLanglin/jev-skills	Calibration and confidence	calibration;comparison;harness	Coding-agent skill pack measuring Jev's own calibration on 4,995 real decisions (Noul ECE 0.169, Choice ECE 0.226, worse), plus batching cost economics vs Claude (145x/363x cheaper for 256 batched judgments)	4,995 real Noul decisions; 500 labeled Choice decisions; 102 ranking cases	Jev via TypeSafe API	Noul ECE 0.169; Choice ECE 0.226; 256 judgments cost $0.00049 vs Claude Opus 5 $0.177 (363x); recall@10 0.69-0.83	independent dev		States TypeSafe has published no calibration curve of its own; raised its own shipped escalate threshold from 0.7 to 0.9 after measuring Choice's miscalibration in the middle of the range.
https://github.com/wotai-dev/typesafe-jev-tools	Calibration and confidence	calibration;comparison	Claude Code hook that judges whether code needs a model at all; separately benchmarks 16 models (incl. Jev) for calibrated binary judgment on 150 passages: Jev is fastest (455ms) and the best-calibrated of the sub-second models, but flags uncertainty 5x more than Haiku	150 identical passages x16 models (2,400 calls); business-category 149 rows; commit-type 100 rows	jev-1.13.0	Jev 66.0% acc, ECE 0.121, p50 455ms, unsure 34.7%, vs Haiku 66.0% acc, ECE 0.122, 631ms, unsure 2.7%	independent dev	2026-09-18/21	"Also independently checks and finds TypeSafe's own ""40-1000x cheaper"" claim does not hold at its floor (23.8x cheaper than the cheapest Claude, not 40x)."
https://x.com/i/article/2100463318209048850	Calibration and confidence	calibration;domain-benchmark	544 legal documents, 109 labelled yes/no judgments: Brier 0.030; all 96 answers outside the 0.2 to 0.8 band were correct						
https://github.com/yuvrajrox/laya-jev-eval	Calibration and confidence	comparison;calibration	Byte-identical-prompt bake-off of Laya vs Jev on email-intent classification: both hit 98% on a 100-email holdout, but fine-tuned Laya collapses to 1.00 confidence on its errors while Jev's errors sit at lower confidence, enabling a confidence-based escalation cascade	supplied dataset 2,000 rows (1,210 unique); hand-written holdout n=100	jev-1.13.0	holdout accuracy 98% both models; ECE Jev 0.024 vs fine-tuned Laya 0.021 but Laya wrong-answer confidence is 1.00 on 98/100 rows vs Jev 0.61-0.79; McNemar Jev vs Laya zero-shot p=0.039	independent dev	2026-09	n=100 single run/seed (95% CI roughly 93-99.5%); supplied 2,000-row dataset is template-generated with train/test leakage risk if using naive split; only the hand-written holdout is a fair comparison.
https://github.com/123Satyajeet123/jev-wide	Consistency and invariance	consistency;perturbation;domain-benchmark;failure-modes	Measures Jev's behavior when ranking/reranking beyond its per-call limits: probabilities violate IIA (log-odds shift +0.31 to +0.50 with unrelated candidates), 95.8% of a 200-candidate field returns quantized 0.00, and identical repeated calls change 7.3% of a top-10 ranking	BEIR SciFact, 300 test queries, BM25 top-200, chunks of 50	jev-1.13.0	flat nDCG@10 0.7619 vs BM25 0.6617; naive merge nDCG 0.6789 (loses 83% of the gain); anchored 0.7606 at 23% fewer calls; repeat-run top-10 overlap 0.927; shuffled-partition top-10 overlap 0.407	independent dev (credits systemone/123Satyajeet123 research project for underlying facts)	2026-09-21	Single dataset (BEIR SciFact); some strategy-query pairs failed (14/4,144) and are reported, not filtered; predictions were frozen before the run and two of six were refuted.
https://github.com/agrogov/jev-system-one-study	Consistency and invariance	calibration;comparison;consistency;perturbation	Black-box study of Jev plus controlled replays of the same ~8,300-request suites against open models Laya and SemIf (Qwen3.5-4B)	jev-results: 5 runs, 7,280 total requests; matched replays on Laya and SemIf (7,280 requests each)	jev-1.13 era (dated runs 2026-09-19)	accuracy: architecture core 98.86%/86.07%/100%; calibration probability-calibration suite 80.63%/59.41%/74.13% (Jev/Laya/SemIf); binary-prob MAE 0.0793 (Jev) vs 0.2892/0.2526; Jev server time flat 99-167ms across 1-128 questions vs Laya's ~120x growth	independent dev/researcher	2026-09-19	Latency measured locally for Laya/SemIf and remotely for Jev, so absolute latency is descriptive, not hardware-normalized; Laya numbers reflect a single specialist checkpoint and SemIf a single model/prompt/runtime.
https://github.com/alperiox/audio-jevlike	Consistency and invariance	consistency;perturbation	Audio-native 'System One' reproduction (Prosodia) reports that real Jev violates independence of irrelevant alternatives - adding an unrelated option shifts log-odds between two untouched options by ~-0.28 across ten randomized blocks	ten randomized blocks (IIA probe); MELD-based audio benchmark for the reproduced model itself	real Jev (unspecified version) for the IIA finding; own model for the rest	Jev IIA violation ~ -0.28 log-odds shift, all 10 blocks decreasing	independent dev		Repo is mainly a model reproduction, not a Jev benchmark; only the IIA section is a direct measurement of real Jev's behavior.
https://github.com/copyleftdev/jev-labs	Consistency and invariance	consistency;calibration;perturbation;domain-benchmark;adversarial	TLA+-verified pharmacy-decision consensus kernel wrapping Jev; found Jev is non-deterministic (identical requests returned 0.03-0.04 across 5 calls) and measured distinct noise floors for identity/reorder/paraphrase, with 0 wrong verdicts across 1,080 golden simulated rounds under seeded chaos	1,490 hash-verified live Jev calls; 1,680 simulated pharmacy decision rounds (14 scenarios x seeds x 3 chaos levels)	jev-1.13.0	noise floors: identity 0.042, reorder 0.059, paraphrase 0.073; calibration on 240 items: acc 0.979, Brier 0.0187, ECE 0.075; 0 wrong verdicts in 1,080 golden rounds (95% CI upper bound 0.28%)	independent dev	2026	Very rigorous engineering (TLA+ model-checked consensus protocol) but pharmacy scenarios are synthetic/unambiguous by construction, not real clinical data.
https://github.com/danielgshea/jev-as-a-judge	Consistency and invariance	comparison;consistency	Compares Jev, GPT-5.6 Luna/Terra and Claude Sonnet 4.6 as agent-eval judges on accuracy, repeat-score variance, cost and latency	5 frozen weather-agent runs, 100 repetitions each = 500 decisions per judge, 1 human reviewer	unstated (hosted Jev via langchain-typesafe==0.0.1a2)	Jev 100.0% accuracy vs GPT-5.6 Terra 99.8%, Luna 96.4%, Sonnet 4.6 80.0%; Jev variance 0.0000149 (433x/913x/92x lower than Luna/Terra/Sonnet); Jev /bin/bash.00035/call, 0.44s latency	independent dev	2026-09-18	Small corpus (5 runs, 1 human reviewer); authors state result is not a general judge-accuracy ranking.
https://www.datacamp.com/blog/system-one-models-jev	Consistency and invariance	consistency;comparison	500/500 agreement with a human oracle across repeated runs; per-case variance 92x to 913x lower than GPT-5.6 and Claude Sonnet comparators						
https://github.com/DowLucas/browser-jev	Consistency and invariance	consistency;calibration;failure-modes	Adversarial browser-exploration tool found narrow oracle questions score far better than broad ones (0.99 vs 0.30) and the same page state can score 0.72-0.87 across repeat calls	Demo app with planted bugs; specific findings from live calibration runs (exact n unstated)	TypeSafe Jev via @typesafe-ai/sdk (version unstated)	Untranslated-key example scored 0.30 (broad question) vs 0.99 (narrow question); repeat-call score range 0.72-0.87 on identical state	independent dev		Documents two concrete false-positive causes traced to missing context (browser validation tooltip, SQLi payload echoed back) rather than model error; states judgments are text-only, so visual/layout bugs are a blind spot.
https://github.com/erendikmenn/jev-rag-benchmark	Consistency and invariance	domain-benchmark;comparison;perturbation;calibration	Jev vs Cohere Rerank 3.5 as a RAG reranker on 1,044 Turkish XQuAD questions; both recover the identical number of gold passages into top-5, with Jev 60.6% cheaper, but a candidate-order permutation audit shows real sensitivity (mean Spearman 0.262)	XQuAD-TR, n=1,044 questions, 240-passage corpus	typesafe/jev-1.13 (resolved jev-1.13-20260917)	Recall@5 99.425% (Jev = Cohere); nDCG 98.097 (Jev) vs 98.626 (Cohere); cost -60.6%; order-audit mean Spearman rho 0.262, mean top-5 Jaccard 0.288	independent dev	2026-09-20	"Using Jev as the sole first-stage retriever was explicitly ""rejected"" (far worse than BM25); candidate-order sensitivity is flagged as a real limitation, not fixed by default."
https://github.com/finnhll/jev-eval	Consistency and invariance	consistency;perturbation;language;calibration	282-trial harness testing Jev's documented claims via OpenRouter: batching independence confirmed to the digit, repeat stability (sd<=0.0075), but option-order reshuffling shifted a winning probability 0.62->0.48 and uncovered inputs answered wrong at >0.93 confidence	282 trials (one full committed run); calibration subset n=20	jev-1.13-20260917 (via OpenRouter Decisions API)	282/282 structural invariants clean; latency flat 403-431ms for 1-30 questions; option reorder moved winning probability 0.62->0.48; 2/3 out-of-taxonomy inputs wrong at confidence>=0.93; Chinese-question agreement 0.79 vs 0.92 (English)	independent dev	2026	"Every finding reproducible offline from a committed raw-response log; distinguishes ""hypothesis"" (author-guessed) from ""documented fact"" (must reproduce) expectations in its own framework."
https://github.com/heddendorp/jev-sort	Consistency and invariance	consistency	"Jev-powered pairwise ""fuzzy sort"" library; a live 100-ticket benchmark got 92.85-98.38% pairwise-ordering agreement with a stated priority policy, and found non-transitive judgments"	100 synthetic support tickets, live benchmark; small live/mocked tests otherwise	jev-latest / pinned via client option	default batches 16.60s/92.85% agreement; batch-16 concurrency-4 12.83s/98.38% agreement; top-10 always correct, full order never exact	independent dev	unstated	"Single runs on a controlled synthetic fixture, explicitly ""not performance or accuracy guarantees""; notes AI judgments can be non-transitive (cyclic)."
https://github.com/jjd-lab/jev-synthetic-survey	Consistency and invariance	comparison;consistency;calibration;domain-benchmark	Jev vs GPT-4.1 as synthetic survey respondents on Twin-2K-500; asked as Noul, Jev beats GPT-4.1 probabilities on all 6 measures at 1/34 the cost, but as Choice it loses the headline distribution-gap metric	Twin-2K-500, 300 respondents x 108 questions = 24,596 cells per arm	jev-1.13.0	Noul: dist. gap 0.1530 vs GPT-4.1 0.1789, ECE 0.1472 vs 0.2393, cost $4.02 vs ~$136; Choice: dist. gap 0.1985 (worse than GPT-4.1)	independent dev	2026 (unstated exact date, dataset from 2025)	Author flags the Noul arm was built after seeing the Choice result (post-hoc), and that a stricter pre-specified per-column test favors GPT-4.1 (p=0.9995); calibration misses its own 0.05 bar for every arm.
https://github.com/JLegends/opencode-jev-compaction	Consistency and invariance	consistency;comparison	Context-compaction plugin found noul-style judgments unreliable on subjective questions (0.996 on hard facts vs 0.003-0.28 on judgment calls) and that a statement and its negation both scored ~0.95 with noul, fixed by switching to explicit-criteria choice questions	unstated for noul/choice test; 40 tickets for the Jev-vs-Laya comparison	Laya (local) primarily; hosted Jev cited for comparison	noul reliability 0.996 (fact) vs 0.003-0.28 (judgment); negation pair both scored ~0.95 with noul, 0.75-0.99 with choice; hosted Jev 78% vs Laya 57% on 40 ambiguous tickets	independent dev		Most measurements are against local Laya, not hosted Jev; the Jev-vs-Laya comparison is explicitly flagged as a small, directional sample.
https://github.com/nyarlathoteppppp/pi-heed	Consistency and invariance	calibration;consistency;perturbation	Runtime rule-enforcement layer for a coding agent that uses Jev for narrow judgments; measured findings include calibrated-but-slightly-underconfident probabilities, flat latency across question count, and strong anchoring on field order	70 labelled items, 108 cross-kind pairs, 49 benchmark sessions; scripted benchmark 79 sessions/261 decisions; replay of 21 real sessions/9,090 tool calls	TypeSafe's own API / OpenRouter jev-latest	Calibration: p 0.9-1.0 -> 98% true, p 0-0.1 -> 7% true; latency flat at 1/4/8 Qs (274/273/276ms); go-ahead detection 71%->93% after question redesign; benchmark recall 71.4%->98.5% across versions	independent dev	unstated (versions through v0.8.0)	Explicitly documents a finding that reversed an earlier conclusion (question-format helps some judgments, hurts others); cost negligible (~$0.00004/session, ~1.7 calls).
https://github.com/orq-ai/jev-judge	Consistency and invariance	consistency;comparison	Judge-repeatability study scoring 12 frozen agent-run cases 100x each; Jev repeats its verdicts fully while 3 LLM judges (deepseek/gemini/gpt) show real run-to-run variance, none beating a majority-class baseline on binary evals, even with sampling off	12 frozen cases x 3 evals x 4 judges x 100 repetitions (14,400 decisions); matched (sampling-off) and frontier (claude-opus-5/gpt-5.6-sol) arms	typesafe/jev-latest via Orq Classify endpoint	cost/1,000 traces $0.49 (Jev) vs $6.56-$259.70 (LLM judges, list price); Jev fully repeats itself; gpt-5.6-luna still disagrees with itself at temperature 0	independent dev / company (Orq.ai)	unstated	Labels are one person's single reading of 12 cases; 11/12 cases positive on both binary evals, so majority-class baseline scores 91.7% itself.
https://github.com/vianaR25/jev-vs-ml	Consistency and invariance	comparison;domain-benchmark;consistency;calibration	Jev and Laya (zero-shot) vs classic trained ML on three Kaggle datasets; Jev is competitive on AG News/tweets but far behind trained models on Titanic, and is measurably non-deterministic (probability shifts up to 0.13 on repeat queries)	AG News 120k train/7.6k test; Disaster Tweets 7,613 (80/20); Titanic 891 (80/20)	Jev 1.13 via OpenRouter	AG News: Jev 88.1% vs Laya 92.8% vs LogReg 92.6%; Tweets: Jev 81.6% vs LogReg 79.9%; Titanic: LogReg 84.4% vs Jev 71.5% vs Laya 61.5%; repeat-query prob changed in 46% of tweets (max d0.12), 80% of Titanic rows (max d0.13)	independent dev		Written in Portuguese; calibration is poor outside AG News (Jev ECE 0.074 there); prompt wording tuned outside the test set on a 500-row dev split.
https://github.com/yodablocks/duckdb-jev	Consistency and invariance	calibration;consistency	DuckDB extension gating semantic SQL functions on Jev's calibration; a 6-condition calibration/invariant gate (Brier, ECE, negation symmetry, rubric ordinality) on 360 fresh live requests, 5 of 6 passing	360 rows, 350 fresh requests (~999 tokens/row) on a 20-Newsgroups-derived corpus	jev-1.13.0	bool ECE 0.0454 (gate <=0.10, pass); choice accuracy 0.8754; score on-topic/off-topic inversion 0.0370; model systematically underconfident (+0.042 mean signed gap)	independent dev	2026-09-18	"Explicitly separates negation-specific effects from general wording sensitivity via a paraphrase control (finds negation result ""not about negation""); flags that within-topic ordinal ranking is untested."
