url	categories	description	notes
https://github.com/Correa-Gui/jev-benchmark-demo	harness	Portuguese-language skeleton benchmark app comparing Jev vs several LLMs on latency/cost; the README shows no run results, only setup and architecture	Pure code skeleton/README; no numbers, tables, or run output are shown.
https://github.com/cvsgireesh/retry-ledger	harness	CI-failure review tool that optionally asks Jev to classify GitHub Actions failures and shows agreement/disagreement with local rules; no accuracy/validation numbers for Jev's classifications are given in the README (linked separately)	"A ""docs/validation.md"" is linked but not reproduced/fetched; author calls this ""an early working release, not... a calibrated failure classifier."""
https://github.com/dashbi1/jev-sim	comparison;calibration	Open LLM-logit reproduction of Jev's API (jev-sim) benchmarked against Jev's own published JevBench numbers; a DeepSeek-Flash logprob readout slightly beats Jev on JevBench's hard tier (74.8% vs 73.0%) but costs 4x more and is 1.5x slower	Jev's numbers are JevBench's own published per-item results, not re-run by this repo; small local models (0.8-4B) trail Jev by 20-30 points.
https://github.com/dayhaysoos/jevals	harness	Local browser-based workbench (jevals) for authoring and running Jev evaluations against expected answers, with saved run history and comparisons; ships no published benchmark results itself	Bundled seed examples create evaluation definitions but make no API calls themselves; purely a tool.
https://dev.to/jamilxt/jev-vs-laya-the-same-ai-idea-one-closed-and-one-open-3c	comparison;meta	Compares self-reported accuracy: Jev 0.727 vs fine-tuned Laya 0.766, but explicitly flags differing sample sizes/prompts as making the comparison unreliable	Author did not run original tests; figures are third-party self-reported and the article itself warns 'almost every number in public circulation is self-reported'.
https://github.com/dev1556/jev-reranker-benchmark	calibration;comparison;harness	Harness comparing Jev Score-primitive reranking calibration against cosine, cross-encoder, LLM-judge and Platt-scaled baselines on BEIR; results marked TBD	README explicitly states headline results are not yet filled in.
https://github.com/doublerobust/rjif	harness;calibration	R wrapper around Jev ('if' statements powered by model judgment) that ships built-in calibration-checking tools (reliability curves, ECE, selection curves) for users to run on their own labeled data; the README documents the tooling and its caveats but reports no completed calibration study of its own	Explicitly states 'this package helps you check Jev's calibration. It does not fix it' and provides no own measured numbers.
https://github.com/dtunai/cu-Jev	comparison;perturbation	CUDA-native open reproduction of Jev's wire API (running Qwen3.5 checkpoints) benchmarked on an independent typed-decisions test set alongside cited published numbers for Jev (72.7%), Laya (76.6%) and openJev-verdict-2.0 (77.1%)	"Jev's number is explicitly ""as catalogued by Laya,"" not independently verified; this repo is primarily an inference-engine/architecture project."
https://github.com/dymoo/code-taste-bench	harness	Uses Jev 1.13 as a pairwise-duel judge to rank 6 coding models on code 'taste' via a rubric and order-swapped calls, but judge reliability/leaderboard numbers are not shown in the README (measured per run, human calibration pending)	Benchmarks other models using Jev as judge, not Jev's own behavior directly; human calibration study still pending.
https://github.com/eddydong/JevTest	harness;domain-benchmark	Labeled benchmark suite testing Jev as a stand-in for classical classifiers, encoder heads, an LLM router and an agent-context filter; methodology described but result numbers live only in generated reports, not the README	README describes what is measured and how but includes no actual result figures; numbers are generated to a local JSON/HTML report not reproduced here.
https://github.com/edgelabs-ai/jev48	comparison;domain-benchmark	'Jev48': an open reproduction built by an AI agent in 48 hours, evaluated zero-shot against Jev's own published numbers on 6 public benchmarks; Jev48 trails Jev on 5 of 6 suites (e.g. -16.9pts on JevBench public v1.2.2) but wins on one (BTZSC pilot, +8.0pts) and shows higher ranking AUROC on phishing despite lower fixed-threshold accuracy	Most comparisons are aggregate/unpaired against numbers Jev48 did not itself produce live (private Jev access was unavailable); only JevBench public suite is a paired, reproducible comparison.
https://github.com/emilesilvis/jev-experiment	harness;comparison	Benchmark suite comparing Jev vs an OpenAI model on GitHub-issue ownership plus AG News/TREC/SNIPS classification, with bootstrap uncertainty intervals, but no result numbers appear in the README itself	Careful protocol (paired bootstrap, fixed cleaning rules, resumable), but this file itself contains no result table.
https://github.com/EmilLindfors/jev-horingssvar-eval	calibration;comparison;language	Early-access first look comparing Jev to DeepSeek V4.1 Flash on 24 Norwegian hearing-response documents; numbers live in linked blog post, not README	Author states this is 'a first look... not a benchmark'; reference labels came from a single Claude Fable 5.1 session, not reproducible; OpenRouter DeepSeek latency mixed across 13 providers.
https://www.evalgent.com/blog/jev-vs-llm-voice-agents	comparison	Repeats vendor/LangChain latency claims (70-500ms, up to 200x faster/400x cheaper) for voice-agent decision points without independently measuring them	Byline associated with Evalgent/TypeSafe AI; reads as vendor-authored content, not independent measurement; no absolute voice-turn latency budget given.
https://github.com/frozencity/jawgyi	harness;language	Zawgyi-vs-Unicode encoding detector for Burmese text that escalates to Jev only for the ~1% of ambiguous short-text cases a Markov model can't resolve; ships a calibration script but the README explicitly states 'whether Jev can actually read Burmese' is unmeasured ('I don't know... careful is not a measurement')	Author is explicit that Jev's Burmese-reading ability is unverified ('TypeSafe publishes no per-language benchmarks and Burmese is low-resource') and provides only a script, not results, to check it.
https://github.com/gbesse/jev-banc-francais	harness	Provider-neutral evaluation harness for closed-set French-language Jev decisions (accuracy, coverage, Brier, calibration bins); ships only synthetic fixture numbers and explicitly makes no live Jev benchmark claim	"States plainly that Jev is ""strongest in English"" and French cases ""need evaluation on representative labels,"" which this repo does not provide."
https://github.com/gbesse/jev-codebook	harness	Qualitative-coding harness applying a user's codebook to text via Jev Noul/Choice questions, with inter-rater-reliability tooling (kappa, Krippendorff's alpha); demo numbers come from a synthetic fake provider, not a live Jev run	"States explicitly ""No live benchmark is claimed... whatever accuracy you get is what agreement shows on your own human-coded sample."""
https://github.com/Giustino98/system-one-bench	harness;domain-benchmark	Harness comparing Jev to local Qwen models on Banking77 and BBH Logical Deduction (3/5/7 objects), but ships only dry-run/plan configs with no completed live results yet	Costs and plans only; no measured accuracy numbers are published as of this README version.
https://www.gm7.org/archives/158323	adversarial;meta	Chinese security-community piece assessing whether Jev suits security work; discusses prompt-injection susceptibility qualitatively, without a confirmed numeric benchmark	Direct fetch failed twice (ECONNRESET); assessment relies on a web-search snippet only, which did not surface concrete numbers.
https://github.com/gopalanj/jevons	harness	Open local reimplementation of the Jev API (logits-based, LFM2.5) with an eval harness (Brier/ECE/accuracy) and optional Jev-as-teacher labeling, but no published head-to-head results	"README explicitly labels itself ""not official Jev""; cites Laya's own reported 0.362 vs 0.461 baseline, not its own Jev comparison."
https://github.com/gordan-code/jev-metrics	calibration;harness	Tooling that persists Jev evaluation scores over time and computes false-confidence rate, ECE and rubric drift from user-supplied outcome labels; no benchmark numbers of its own	Numbers shown in README are a toy/demo example, not a real measured benchmark; complements a separate jev-review tool.
https://github.com/gregb100/gavel	harness	OpenClaw plugin wrapping Jev for dev-workflow classification (routing, triage, PR gating); reports latency/cost and a 40% context-savings case study, but no accuracy/robustness numbers in the README	Tests verify the plugin works against the live API (32/32 passing) but do not evaluate classification correctness; only performance numbers appear in the README itself.
https://github.com/hamakyo/jev-mahjong-bench	harness;domain-benchmark;comparison;calibration	Web-UI-driven harness comparing Jev and GPT on riichi-mahjong discard decisions (legality, reference-agreement, latency, ECE, Brier), with a publish workflow but no headline numbers in the README	Sophisticated tooling (Web UI, replay import, publish workflow) but the README itself shows no completed benchmark results table.
https://github.com/hamakyo/jev-starter	harness	A production-pattern starter kit (decision contracts, thresholds, fallbacks) with a full offline evaluation harness (accuracy, Brier, ECE, risk-coverage) for Jev-based decisions, but no result numbers are published in this README	Well-designed harness/tooling repo; no benchmark numbers included in this README.
https://github.com/hanno-labs/decision-bench	harness;meta	General-purpose evaluation ecosystem/leaderboard for Jev-class decision models (23,900 task rows across nine families); this README documents installation and model adapters, not Jev-specific results	Jev itself is not demonstrated running in this README's text; actual Jev scores would live in the linked external Hugging Face leaderboard/results repo.
https://github.com/hegargarcia/jev-playground	harness;domain-benchmark	"Interactive multi-model game playground (tic-tac-toe, Connect Four) comparing Jev's move choices against GPT/Claude/Gemini/Astra; the author states automated tournaments and aggregate scores are ""future work,"" so no numbers are published yet"	"Explicitly interactive/exploratory only; README states ""controlled runs are needed to make broader performance claims."""
https://github.com/Heman10x-NGU/openJev-verdict-2.0	comparison;calibration;consistency	Open 149.6M-parameter reproduction (openJev-verdict-2.0) benchmarked head-to-head against TypeSafe Jev 1.13.0 on 2,000 held-out enterprise decisions: 77.10% accuracy vs Jev's 72.70%, with a better Brier score (0.0636 vs 0.1480) and lower option-flip rate under perturbation	"Jev's row is explicitly ""vendor baseline cataloged in Laya's published evaluation suite,"" not independently re-run by this repo."
https://github.com/Heman10x-NGU/Verdict-open-jev	comparison;calibration	Open 151M non-autoregressive reproduction of Jev's decision API (OpenJev/Verdict), inference-engine-fixed and re-measured on JevBench's 231 public tasks; direct head-to-head numbers against Jev live in the JevBench leaderboard this repo participates in rather than fully inside this README	Same project family as openJev-verdict-2.0; the actual Jev-vs-this-model comparison is documented in the external JevBench results, not fully reproduced in this README's own tables.
https://github.com/herakles-dev/typesafe-claude-kit	harness	Claude Code toolkit with standalone scripts for probing Jev question consistency, confidence-accuracy curves and documented failure modes; no published results	Pure tooling/harness repo; explicitly a kit for measuring thresholds, not a report of measurements.
https://github.com/HomenShum/jev-swap	harness	Claude Code skill defining a three-arm (baseline/Jev-only/Jev-with-fallback) live-evaluation methodology for migrating pipeline components to Jev; ships no measurements	README explicitly states 'no claims about Jev's accuracy on your data, and no measurements of Jev at all: no live Jev call was made while building this skill.'
https://github.com/i-madhav/jevxlaya-mlx	harness;comparison	Head-to-head ticket-triage benchmark harness comparing cloud Jev vs local Laya (MLX) on 30 hand-labeled tickets; methodology is detailed but scored results are written to results.json, not shown in the README	README documents methodology and metrics in detail but includes no actual scored numbers in the text itself.
https://github.com/ianlintner/jev-router	harness	"Shadow-mode sidecar comparing Jev's routing features against an installed Switchyard classifier policy; author states explicitly it is ""not a quality benchmark"" with no measured accuracy"	"README repeatedly disclaims: ""not a quality benchmark: it has no measured accuracy, correctness labels."""
https://github.com/ikermoel/open-alternative-jev	comparison;calibration;domain-benchmark;harness	Open-weights library reproducing Jev's interface on stock Qwen models; a 27B zero-shot model edges a benchmark-authors' Jev measurement 73.7% vs 72.7% on typed-decisions	Jev number is quoted from a third party benchmark, not measured by this repo directly (open reproduction with head-to-head, per definition); very transparent about packing interference and small-model degradation.
https://github.com/integralmarketingmx/jev-latam-lead-triage	harness;language	Spanish-language (MX/LATAM) lead-triage benchmark designed to measure Jev's commercial Spanish performance, but the README states it has never been run against the live Jev API	README states plainly it has never run against the real Jev API -- this is a planned benchmark, not a completed one; the English-instructions/Spanish-data hypothesis is explicitly unverified.
https://github.com/intikhab49/open-jev-typed-decision-engine	comparison;calibration;domain-benchmark;harness	150M open encoder reproduction scores 0.03 behind Jev's quoted 0.727 accuracy on typed-decisions while being 2.5x better calibrated (ECE) and far faster/free	Explicitly states Jev's figures are quoted from the benchmark, not reproduced; notes its own model trained in-domain while Jev is zero-shot, making the gap 'look worse, not better'.
https://github.com/jaewgwon/jevis	harness	Flutter integration-test framework where Jev picks UI actions and judges goal completion; ships only mechanics tests, explicitly no measured accuracy of Jev's live decisions	"README is explicit: local/mock tests ""do not establish the accuracy of live model decisions""; goalThreshold/actionThreshold are defaults to be tuned per app, not derived from a measured benchmark."
https://github.com/jakenbear/the-jev-enator	harness;consistency	Claude Code hooks using Jev as a cheap in-loop judge (danger gate, failure notice, completion check, scope check); ships small author-written fixture suites (26/26, 20/20, 13/13) but no independent accuracy evaluation	"Fixtures written by the same author as the questions they test (""proves the plumbing... nothing about accuracy""); completion check ships log-only as explicitly ""unproven."""
https://github.com/janagarajsn/jev-vs-laya	harness;comparison;calibration	Live Flask dashboard head-to-head of Jev (cloud) vs Laya (local) on synthetic ticket-triage tickets with known labels, streaming accuracy and calibration; no fixed numbers published in README	Labels are synthetic/generator-known, not real-world tickets; no static results table is committed.
https://github.com/jasonli0226/jev-demo-triage	adversarial;comparison;domain-benchmark	Jev as a safety gate against a GLM judge in a mock incident-triage agent; no aggregate numbers in the README	N=3 per cell, GLM nondeterministic, gate policy tuned after seeing scenarios; extensive self-documented caveats about inferred vs observed findings.
https://github.com/javierBrenesAI/jev_tool_calling_experiment	harness;comparison	Benchmark harness comparing a Jev-hybrid tool-calling agent design against a traditional single-LLM tool-caller, tracking accuracy, latency, tokens and cost; the README describes the design but includes no result numbers	"README explicitly flags ""the initial scenarios are small and synthetic"" and that Jev's confidence/Noul probabilities are ""routing signals, not guarantees of correctness""; no results reproduced in the README text."
https://github.com/jerelvelarde/jev-copilotkit	harness;comparison	Interactive CopilotKit demo racing Jev against OpenRouter LLMs on Wikipedia link-picking and tool-call selection; sample mode is illustrative only, live results are not published	README repeatedly states sample-mode numbers are authored illustrations, not recorded runs; live comparison requires user-supplied API keys and is not committed to the repo.
https://github.com/jiayylu/jev-as-quant	comparison;calibration;domain-benchmark	Uses Laya and Jev as a judgment layer in a quant pipeline; the reported numbers (macro-F1 0.71, ECE 0.22 to 0.02 after calibration) are for Laya, Jev results not separated	Chinese README; Jev-specific numbers not isolated
https://github.com/jkudish/jev-mcp	harness	MCP server exposing ten Jev-backed judgment tools (verify, screen, rerank, classify, review/gate, etc.) for coding agents, with worked single-example live outputs per tool but no aggregate accuracy/calibration benchmark of Jev itself across a labeled dataset	A pure tool/integration README; the one quantitative claim (CLERC rerank lift) is attributed to TypeSafe's own cookbook, not measured in this repo.
https://github.com/jmanhype/jev-dspy-lab	harness;calibration;abstention	Companion measurement lab for a DSPy-Jev integration; ships a synthetic fixture (explicitly not a Jev-quality claim) plus one small 24-case live jev-latest recording with calibration/coverage metrics	Repo repeatedly disclaims its own numbers: 'not a claim about Jev model quality' for both the synthetic fixture and the 24-case live run; extremely small n.
https://github.com/JohnRSandoval/meaning-assert	consistency	A semantic-equivalence test library using Jev to check paraphrased/altered claims; a small 5-scenario recorded demo shows correct pass/fail/inconclusive behavior but is explicitly called 'smoke examples, not a benchmark.'	Author explicitly disclaims this as a benchmark or a guarantee of prompt-injection resistance; very small n.
https://github.com/jonkthomas/jev-shadow	harness	A 'shadow test' CLI for measuring whether Jev's confidence is trustworthy on your own labeled data (agreement, confidence-binned accuracy, costly-mistake rates, cutoff ladders), but ships no built-in published Jev results	A tool for others to benchmark Jev on their own data; no Jev-specific numbers published here.
https://github.com/JoshuaSP/open-jev	comparison;domain-benchmark;harness	Open diffusion-model (DiffusionGemma) harness replaying Jev's public eval questions; grouped 2-step inference reaches 87.8% agreement with references (vs Jev's saved 90.8%) at ~5x lower cost than a naive per-question baseline	Explicitly did not call the Jev API; compares against TypeSafe's own published saved decisions, so it is a reproduction with a head-to-head, not a live Jev measurement.
https://github.com/JustinDumasCarr/Jev	comparison;calibration	Plans a Jev vs Claude (Opus, Sonnet, Haiku) comparison on two production decision points, scored on accuracy, calibration, latency and cost; results not in README	No numbers in README
https://github.com/k4its1t/jevlens	harness	Open-source harness for scoring Jev Choice/Noul/Score runs: accuracy, Brier score, MAE, confusion matrices, threshold tuning, via a bundled example	No published accuracy numbers for Jev itself; it is an eval framework users run on their own data, not a completed benchmark.
https://github.com/KarimHFahmy/jev-eval	harness;calibration	LLM-as-a-judge harness on jev-1.13.0 shipping a 12-case calibration set (6 pass / 3 borderline / 3 fail by design); agreement with labels left to the user	calibration set, not a benchmark
https://github.com/kerpopule/hermes-jev-skills	harness	Agent toolkit routing small decisions (model routing, search, triage, mailbox sorting) through Jev, with scattered feature-level measurements (e.g., handoff recall 58.7%->75.0%) rather than a systematic Jev benchmark	Primarily a product/tool repo; the one real benchmark (handoff recall) is linked to a separate scorecard file, not fully detailed in the README itself.
https://github.com/KeWang0622/jev-board-game	harness;calibration;domain-benchmark	Social-deduction game testbed logging Jev's Choice probabilities as belief and scoring ECE/Brier; offline demo uses a non-Jev stand-in, live run needed for real numbers	README explicitly says offline calibration numbers are not Jev's real accuracy; must run --backend live for the scientific result, not included here.
https://github.com/kierandotai/jev-scout	harness;domain-benchmark	MCP research tool that scores search results/pages with Jev; validates its judging rubric against a small hand-labeled golden set (relevance 88%, credibility 96%)	Primarily a harness/product; the single accuracy checkpoint is small (n~25) and framed as ongoing drift monitoring rather than a systematic benchmark.
https://kingy.ai/blog/typesafe-jev-review-the-ai-model-that-doesnt-generate-te	comparison;domain-benchmark	Desk review compiling TypeSafe's own published per-task accuracy (aggregate 67.8%) and Every's hands-on test (6/7 defects caught); reviewer ran no live API testing	Reviewer explicitly states 'No live Jev API key or paid API usage was available at publication' — this is a document/claims review, not original testing.
https://github.com/konstantinosbotonakis/codex-context-diet	perturbation;failure-modes	Codex plugin using Jev to decide which large tool outputs to compact; ships a small wording-sensitivity anecdote and a 10-prompt guardrail accuracy check plus session-level savings stats	Primarily a tool; evaluation evidence is illustrative/small-n rather than a systematic benchmark.
https://github.com/kshetrajna12/reflex	comparison;calibration	Open local reproduction (frozen Qwen3.5-4B/27B) benchmarked head-to-head against Jev 1.13.0 on JevBench's public and official splits	Reflex numbers are self-run on a development suite consulted during training; official JevBench run performed separately by the benchmark's author.
https://github.com/kyr0/typed-decision-bench	harness;calibration	Evaluation harness and calibration standard (Qtype-Stratified Temperature Scaling) for any System One-compatible API, including Jev, with 275 suites/27,598 cases	Generic harness/standard rather than a completed evaluation; no headline Jev numbers shown in this README.
https://github.com/lafollett-labs/typesafe-jev-dojo	harness;comparison	Live demo suite (router, triage, Tetris, Gauntlet) showcasing Jev's speed/cost and a Jev-vs-Claude scored gauntlet, but publishes no accuracy numbers in the README	Numbers exist only in the live/generated UI and logs, not printed in the README itself.
https://langfuse.com/blog/2026-09-18-using-typesafes-jev-for-evals	comparison;consistency	Cites Good Start Labs' finding that Jev matched Claude Fable 5.1's verdicts 91.5% of the time on 6,003 rubric checks, at $160 vs $33,000 per million graded answers	Numbers are cited from a third party (Good Start Labs), not Langfuse's own benchmark.
https://github.com/logan-markewich/jeff	comparison;domain-benchmark	Self-hosted open reimplementation of Jev's System One API (GLiFormer-based); measured against live Jev on 1,600 items across 8 datasets and the third-party JevBench leaderboard, trailing notably on reasoning-heavy tasks	Open reproduction whose README includes a head-to-head against Jev (per definition), rather than an independent third-party study of Jev alone.
https://github.com/MahdiHedhli/jev-model-experiment	domain-benchmark;perturbation	Compares context-compaction tools (two of which call live Jev) for evidence retention across four arms on a synthetic 6-session corpus	Measures downstream tools built on Jev rather than Jev's own decisions directly; synthetic/padded corpus, explicitly not a reasoning benchmark.
https://github.com/malevrigns/agent-jev	comparison;calibration;domain-benchmark	Open 0.6B specialist model reproduction scoring 79.25% top-1 on typed-decisions, beating a quoted TypeSafe Jev 1.13.0 zero-shot score of 72.7% on the same public benchmark	Jev's row is explicitly copied from the dataset card, not re-scored in this repository; matches the MAYBE 'reproduction with head-to-head' pattern.
https://github.com/marianoberton/agent-evals	harness;calibration	A deploy-gating agent-eval library with a built-in Jev-judge calibration command; its documentation example finds a judge's 0.9-1.0 confidence bucket delivered only 67% observed accuracy against 95% predicted, on a 6-case illustrative set	The calibration numbers shown are a documentation example (n=6), not a dedicated Jev benchmark; the library itself is a general testing tool.
https://github.com/Menny1337/jev-lab	harness	CLI tool for exercising Jev with synthetic support-ticket text and measuring raw request latency; explicitly states its examples do not measure accuracy or establish decision thresholds	README explicitly disclaims: 'these examples do not measure accuracy or establish decision thresholds' and 'no example output or timing is an accuracy claim.'
https://github.com/metask-ai/metask-jev	comparison;domain-benchmark	Chinese-language open reproduction (Qwen3.5-4B/0.8B fine-tunes) scoring near TypeSafe's quoted Jev 1.13.0 JevBench rank (metask-jev-4b 80.1 vs Jev 75.3, both on JevBench's 231-task subset)	Jev's numbers are quoted from the external JevBench leaderboard, not reproduced by this repo; README is in Chinese.
https://github.com/mionax/decisionops	harness;calibration	"Offline calibration/ECE/Brier/confidence-gate workbench for Jev-shaped JSONL decision logs; ships only a synthetic sample dataset and explicitly says the bundled numbers are ""illustrative...not a Jev benchmark"	"README explicitly: ""The sample data is illustrative, not a Jev benchmark."""
https://github.com/mithalouni/system-one-open	comparison	An open Gemma-based replica of Jev cites TypeSafe's own published eval to show Jev scoring 86.9% vs the replica's 76.7% on a 343-pair strict common subset, while claiming faster per-token latency on its own hardware	The Jev figure is copied from TypeSafe's own published eval, not independently measured by this repo; this is an open reproduction with a head-to-head comparison table.
https://github.com/mjyoke1111/jev-lab	harness;adversarial	Browser-agent safety harness comparing Jev's typed safety judgments against a baseline mini-LLM on benign vs prompt-injected pages, but ships no sample benchmark numbers of its own	The repository does not ship sample benchmark numbers; results depend entirely on the user's own run.
https://github.com/mooooorty/jev-openworld	abstention;harness	Harness comparing five policies for inputs that fit no category (baseline, explicit other, confidence gate, multi-question abstention, fallback) with safety, coverage and consistency reports; results not in README	No numbers in README
https://github.com/morriszj/anyjev	comparison;calibration;consistency;domain-benchmark	Open-source library that debiases raw LLM logit readouts into Jev-style typed decisions (no training); on Laya's own benchmark a zero-shot Qwen3-32B+AnyJev lands 2.8pp below a quoted TypeSafe Jev 1.13.0 score but with 4x better calibration	Explicitly 'Not affiliated with, endorsed by, or derived from TypeSafe AI or Jev'; the Jev row is quoted, matching the MAYBE reproduction-with-head-to-head pattern; very rigorous reproducibility re-run of its own numbers.
https://github.com/nandhakishorm/laya	comparison;calibration;domain-benchmark;language	Open multilingual competitor model (Laya) whose fine-tuned checkpoint beats a quoted TypeSafe Jev 1.13.0 by 3.9pp accuracy on the shared typed-decisions benchmark, while trailing on soft-accuracy and calibration	Explicitly states Jev figures are quoted, not measured (no TypeSafe API access), so sample sizes and prompts differ between rows; matches the MAYBE reproduction-with-head-to-head definition.
https://github.com/neo4j-field/jev-graphrag	domain-benchmark	Neo4j GraphRAG demos using Jev for entity resolution and judging; cites an external entity-resolution benchmark rather than reporting its own	cites others' numbers
https://news.ycombinator.com/item?id=49745752	comparison;meta	Thread on LLM-as-classifier tradeoffs; one commenter (suraj_phanindra) links an external cost/latency comparison of Jev vs mainstream LLMs for ticket triage, no numbers quoted inline	Discussed article is 'LLM Classification Is Feature Engineering' (HN item 49742437); no other commenter provides numeric failure-case data.
